feature,mi_score
f205,0.0014512686156560317
f206,0.00077342203476638
f207,0.005422039805024648
f208,0.031793106721477615
f209,0.046649678987007004
f210,0.06690852896694821
f211,0.013914539975209639
f212,0.01329599065790088
f213,0.14530787607508855
f214,0.014985214086105314
f215,0.017649106212793475
f216,0.02107767507671343
f217,0.009948277944418438
f218,0.010311633895857764
f219,0.012025790500810984
f220,0.01386744136183471
f221,0.0022590362898837757
f222,0.01763355083842022
f223,0.018550237059935304
f224,0.01666048694833977
f225,0.021673876868453013
f226,0.0001676596510551409
f227,0.0026342987096761306
f228,0.0010925759175139937
f229,0
f230,0.0024635232295455722
f231,0.1402616360490524
f232,0.002237814414368211
f233,0
f234,3.201649904327475e-05
f235,0.0001302020522464531
f236,0.00020993885595776973
f237,0.0032421836867195797
f238,0.00025289316677534757
f239,0.00021815167149408232
f240,0.00011103553389357756
f241,0.0004560172119207895
f242,0.00018258925808090076
f243,0
f244,5.2808603406839794e-05
f245,0.00026885482708149944
f246,3.8592180526375586e-05
f247,0.00010342138602958961
f248,0.00020800123831010708
f249,0
f250,0.00017956932019491667
f251,1.1967482604235968e-05
f252,0.006755178602513734
f253,0
f254,0
f255,1.181547080442158e-05
f256,0
f257,0.0001573694024681327
f258,1.658341404597863e-05
f259,0
f260,4.244359496841099e-05
f261,7.227686065602867e-05
f262,0.00018683505126659838
f263,0.00022048126470530782
f264,0
f265,0.0007719308242006839
f266,0
f267,0
f268,0
f269,0.0018663584414553291
f270,0
f271,0
f272,0.00035060149657328843
f273,0.00035909188898175515
f274,0.0009416220274043319
f275,0.0012303429782236641
f276,0.0009325146255130257
f277,6.413714751962729e-05
f278,0.0002904769322464862
f279,1.0389881119232669e-05
f280,0.0016159177056482843
f281,0
f282,7.346456374546229e-05
f283,0.00024891738799603935
f284,0.0003195334139163286
f285,0.12276293436085828
f286,0
f287,0.0001644950242234433
f288,0.0012445852777451805
f289,0
f290,0.00020039239337155124
f291,0
f292,0.0003047727727698568
f293,0.00041827467903932103
f294,0
f295,0.00014428252950970943
f296,0.00036894382785557234
f297,0
f298,0.00030858723211268924
f299,0.0001975045593467506
f300,5.1968440573535446e-05
f301,6.709380136005194e-05
f302,0
f303,0
f304,0
f305,0
f306,7.609268687969184e-05
f307,0.0003705789884893562
f308,0
f309,0
f310,0.0087696246576221
f311,0.009373861006823692
f312,0.008990689936440255
f313,0.009901924212835755
f314,0.010823035041203077
f315,0.007418196050941628
f316,0.009381357907522592
f317,0.009555472446504343
f318,0.010194755108456688
f319,0.01107627333836203
f320,0.009794908195592145
f321,0.010928622503013186
f322,0.010842816406243072
f323,0.011110773836563226
f324,0.010873943086083582
f325,0.008494975204937916
f326,0.008916847403877215
f327,0.009241813481336791
f328,0.01163167536765397
f329,0.008626744565035205
f330,0.008972142197479993
f331,0.008309926150885882
f332,0.14198286277239247
f333,0.0170542315738329
f334,0
f335,0
f336,0.020504352569090223
f337,0.020635525227831186
f338,0.020751240211597244
f339,0.020470043532403004
f340,0.02105477626543606
f341,0.020533577784394685
f342,0.020841417656581207
f343,0.020558267543820063
f344,0.020707587200065047
f345,0.021032238064033093
f346,0.020981555649055128
f347,0.008798597590172763
f348,0.008123175232942925
f349,0.053551893505796366
f350,0.09754577149606924
f351,0.008834918738699793
f352,0.008898086602074695
f353,0.05206497556787126
f354,0.12163687411943669
f355,0.01106697150174929
f356,0.01126345906346149
f357,0.011144070150468144
f358,0.009561134152117123
f359,0
f360,0.01609524382512295
f361,0.006529942805503008
f362,0.034711705755831934
f363,0.0665860932870983
f364,0.023605073886106887
f365,0.05620116016751009
f366,0.09251354763018038
